GAP_between_Create_Last,TOTAL_EXPENSED_AMOUNT,APPROVED_AMT,PAID_IN_AMOUNT_ALLOCATION,EXPENSE_TYPE_DESC,CITY,Label
21,10598.19,26,26,办公室小食,太原,1
3,5400,230,230,餐费,济南,1
0,41018.65,76,76,出租车费,上海,1
0,41018.65,74,74,出租车费,上海,1
2,4662,11,11,出租车费,长沙,1
5,4001.45,398.5,398.5,其它差旅费,青岛,1
1,5430.28,50,50,其它差旅费,成都,1
0,1645.5,49.5,49.5,其它差旅费,上海,1
10,7593.5,219.5,219.5,其它差旅费,上海,1
0,10597.27,81,81,出租车费,南京,1
0,1645.5,17,17,其它差旅费,上海,1
3,31111.9,778,778,其它差旅费,上海,1
59,1058,180,180,餐费,兰州,1
3,10333.5,86.5,86.5,餐费,大连,1
6,9840.8,30,30,出租车费,北京,1
0,9003,165,165,其它差旅费,上海,1
6,9840.8,30,30,出租车费,北京,1
0,5412,425,425,餐费,上海,1
0,15327.4,18,18,出租车费,上海,1
0,15327.4,58,58,出租车费,上海,1
25,10687.06,900,900,其它差旅费,北京,1
2,22994.15,258,258,旅馆房费-国内,武汉,1
6,7480.5,246,246,餐费,广州,1
37,7623.6,500,500,办公室小食,赣州,1
0,1531,31,31,出租车费,北京,1
0,7497,229.5,229.5,其它差旅费,上海,1
1,45788,300,300,出租车费,北京,1
91,14555.91,90,75,印刷及办公费用,北京,1
91,14555.91,90,15,印刷及办公费用,北京,1
18,8225.12,203,203,当地地面交通费,长沙,1
15,4671.19,103,103,出租车费,上海,1
1,45788,400,400,出租车费,北京,1
1,45788,300,300,出租车费,北京,1
1,45788,300,300,出租车费,北京,1
51,12188.3,499,499,员工礼品,广州,1
0,12498.6,60,60,汽油费,长沙,1
10,7057.6,309,309,餐费,北京,1
0,5973.6,176.8,176.8,出租车费,广州,1
0,6250.82,144,144,餐费,北京,1
15,12007,154,154,餐费,北京,1
3,25348.9,622.9,622.9,出租车费,上海,1
35,15315.9,581.7,581.7,移动电话费,广州,1
0,6534.3,542,542,邮寄费用,北京,1
0,11012,76,76,出租车费,上海,1
70,12157,41,41,出租车费,北京,1
9,24168.3,381,381,餐费,北京,1
142,12330.72,41,41,出租车费,北京,1
0,13934.73,26,26,出租车费,湖州,1
8,7845.4,164,164,其它个人费用,重庆,1
25,12418.65,396,396,餐费,上海,1
70,12157,21,21,出租车费,北京,1
0,1645.5,34,34,其它差旅费,上海,1
11,18174.64,195,195,餐费,北京,1
0,2953.2,156,156,餐费,杭州,1
0,14019.44,1310,1310,旅馆房费-国内,上海,1
1,10848.5,2940,2940,餐费,济南,1
0,4187.9,43,43,出租车费,成都,1
1,10848.5,409,409,其它差旅费,济南,1
0,4187.9,24,24,出租车费,成都,1
0,15517.4,159,159,餐费,深圳,1
0,23290.2,449,449,餐费,连云港,1
0,10403,100,100,汽油费,马鞍山,1
2,9094.5,59,59,餐费,上海,1
0,15903,237,237,餐费,上海,1
0,4411.2,63,63,餐费,上海,1
3,25348.9,747.48,747.48,出租车费,上海,1
3,12763,856,856,餐费,乌鲁木齐,1
3,25348.9,132.11,132.11,出租车费,上海,1
0,6534.3,75,75,其它差旅费,北京,1
3,25348.9,276.47,276.47,餐费,上海,1
3,25348.9,604.28,604.28,出租车费,上海,1
3,25348.9,747.48,747.48,出租车费,上海,1
3,25348.9,50.98,50.98,餐费,上海,1
0,2895.9,76,76,其它差旅费,天津,1
4,22505,96,96,餐费,北京,1
0,757,78,78,出租车费,北京,1
0,12241.41,34.5,34.5,其它差旅费,青岛,1
0,22033.5,416,416,餐费,上海,1
1,2422.02,38,38,其它差旅费,保定,1
2,5446,348,348,其它个人费用,济南,1
4,1718,647,647,移动电话费,上海,1
0,12241.41,57,57,出租车费,青岛,1
21,4864.78,316.6,316.6,移动电话费,广州,1
0,6159,271,271,移动电话费,上海,1
0,6159,306,306,餐费,上海,1
3,6649.54,403.74,403.74,移动电话费,徐州,1
4,4434.24,156,156,餐费,南宁,1
2,4922.04,151,151,出租车费,上海,1
1,8238,815,815,出租车费,上海,1
3,15924.8,425.1,425.1,移动电话费,阳江,1
0,12241.41,12,12,出租车费,青岛,1
9,17297.05,731,731,餐费,北京,1
0,371.2,300,300,办公室小食,武汉,1
0,371.2,71.2,71.2,办公室小食,武汉,1
8,9580,300,300,移动电话费,宁波,1
0,14923.93,113.45,113.45,固定电话及宽带相关费用,上海,1
1,2740,2740,2740,餐费,兰州,1
7,2446,390,390,移动电话费,上海,1
6,24982.1,58,58,办公室小食,北京,1
5,12804.6,100,100,补贴,上海,1
1,21694,137,137,餐费,上海,1
6,11145.6,199,199,移动电话费,西安,1
35,20781.63,300,300,移动电话费,上海,1
21,9409.9,1449,1449,餐费,南宁,1
14,20849,2994,2994,餐费,杭州,1
0,14923.93,443.62,443.62,移动电话费,上海,1
1,6567,9,9,其它差旅费,萍乡,1
1,6567,13,13,其它差旅费,萍乡,1
0,1707.5,26,26,其它差旅费,上海,1
42,2260.12,346.18,346.18,移动电话费,上海,1
1,21694,117,117,餐费,上海,1
16,24711.22,248,248,出租车费,哈尔滨,1
0,8621.4,120,120,出租车费,成都,1
35,5799.3,112.9,112.9,餐费,佛山,1
5,5647.5,258,258,餐费,济南,1
23,13970.5,5600,5600,员工团队用餐及活动,郑州,1
1,24969.06,100,100,补贴,上海,1
0,9962.36,293.5,293.5,其它差旅费,北京,1
0,9962.36,19,19,出租车费,北京,1
2,12905.6,2488,2488,餐费,武汉,1
18,14464.6,431,431,员工团队用餐及活动,武汉,1
3,20905,362,362,餐费,北京,1
0,1569.5,16,16,出租车费,上海,1
15,3312,7,7,出租车费,长春,1
48,14211.39,126,126,餐费,梧州,1
48,14211.39,139.6,139.6,办公室小食,梧州,1
36,1619,124,124,出租车费,上海,1
83,24968.8,942.4,942.4,办公室小食,青岛,1
2,18746.3,100,100,补贴,宁德,1
40,11249.1,76,76,餐费,东莞,1
0,995,995,995,餐费,无锡,1
0,1325.84,337,337,餐费,上海,1
13,3647.63,210,210,其它个人费用,上海,1
5,24938,100,100,补贴,温州,1
5,24938,34,34,其它差旅费,温州,1
0,12078.5,542,542,餐费,广州,1
1,14490.05,72,72,餐费,上海,1
0,6582,2718,2718,餐费,无锡,1
36,1619,15,15,出租车费,上海,1
33,5515.5,203,203,餐费,海口,1
2,3339,567,567,员工奖品,北京,1
10,14632.6,177.6,177.6,餐费,上海,1
10,14632.6,1345,1345,餐费,上海,1
0,9962.36,13,13,出租车费,北京,1
0,6419,100,100,固定电话及宽带相关费用,成都,1
0,4338.6,500,500,餐费,上海,1
37,21782.91,185,185,员工礼品,深圳,1
1,9583.7,131,131,餐费,武汉,1
1,6567,400,400,餐费,萍乡,1
0,4664,286,286,餐费,广州,1
0,2971.5,71.5,71.5,其它差旅费,上海,1
4,16485.25,128,128,餐费,上海,1
7,12471,10,10,其它差旅费,盐城,1
7,12471,10,10,其它差旅费,盐城,1
0,2971.5,71.5,71.5,其它差旅费,上海,1
0,2971.5,260,260,餐费,上海,1
6,24982.1,186,186,办公室小食,北京,1
